27,4118473,MINNESOTA
30,780158,MONTANA
38,527674,NORTH DAKOTA
15,1045701,HAWAII
16,1167974,IDAHO
53,5236684,WASHINGTON
04,4861201,ARIZONA
06,28633596,CALIFORNIA
08,3864457,COLORADO
32,2081396,NEVADA
35,1573213,NEW MEXICO
41,3032206,OREGON
49,1962359,UTAH
56,0,WYOMING
05,2237521,ARKANSAS
19,2365768,IOWA
20,2158812,KANSAS
29,4632070,MISSOURI
31,1392174,NEBRASKA
40,2846808,OKLAHOMA
46,620219,SOUTH DAKOTA
22,3448502,LOUISIANA
48,18650694,TEXAS
09,2805617,CONNECTICUT
25,5236094,MASSACHUSETTS
33,1052637,NEW HAMPSHIRE
44,842007,RHODE ISLAND
50,507479,VERMONT
01,3703783,ALABAMA
12,15022650,FLORIDA
13,7305810,GEORGIA
28,2235799,MISSISSIPPI
45,3576916,SOUTH CAROLINA
17,9916586,ILLINOIS
18,4973966,INDIANA
21,3335491,KENTUCKY
37,7327524,NORTH CAROLINA
39,8960059,OHIO
47,4930840,TENNESSEE
51,6169821,VIRGINIA
55,4435576,WISCONSIN
54,1483911,WEST VIRGINIA
10,702249,DELAWARE
11,0,DISTRICT OF COLUMBIA
24,4499639,MARYLAND
34,6880656,NEW JERSEY
36,15363784,NEW YORK
42,10073120,PENNSYLVANIA
23,1074578,MAINE
26,7721033,MICHIGAN
02,522339,ALASKA
72,2914731,PUERTO RICO
