27,4319092,MINNESOTA
30,824649,MONTANA
38,584078,NORTH DAKOTA
15,1102698,HAWAII
16,1276833,IDAHO
53,5738488,WASHINGTON
04,5377864,ARIZONA
06,30709489,CALIFORNIA
08,4326079,COLORADO
32,2305605,NEVADA
35,1616431,NEW MEXICO
41,3288769,OREGON
49,2203753,UTAH
56,450367,WYOMING
05,2305518,ARKANSAS
19,2447136,IOWA
20,2217882,KANSAS
29,4751311,MISSOURI
31,1454799,NEBRASKA
40,2987689,OKLAHOMA
46,657101,SOUTH DAKOTA
22,3587655,LOUISIANA
48,20897388,TEXAS
09,2868519,CONNECTICUT
25,5528750,MASSACHUSETTS
33,1089959,NEW HAMPSHIRE
44,858295,RHODE ISLAND
50,513873,VERMONT
01,3817916,ALABAMA
12,16634979,FLORIDA
13,7896687,GEORGIA
28,2285997,MISSISSIPPI
45,3888209,SOUTH CAROLINA
17,10042389,ILLINOIS
18,5142729,INDIANA
21,3460365,KENTUCKY
37,7928881,NORTH CAROLINA
39,9144782,OHIO
47,5217779,TENNESSEE
51,6549809,VIRGINIA
55,4575364,WISCONSIN
54,1471238,WEST VIRGINIA
10,757326,DELAWARE
11,560155,DISTRICT OF COLUMBIA
24,4722685,MARYLAND
34,7091868,NEW JERSEY
36,15812865,NEW YORK
42,10225991,PENNSYLVANIA
23,1094477,MAINE
26,7893861,MICHIGAN
02,551928,ALASKA
72,2782280,PUERTO RICO
