27,4395381,MINNESOTA
30,843546,MONTANA
38,585782,NORTH DAKOTA
15,1096009,HAWAII
16,1337554,IDAHO
53,5946027,WASHINGTON
04,5608516,ARIZONA
06,31085639,CALIFORNIA
08,4479249,COLORADO
32,2385543,NEVADA
35,1639138,NEW MEXICO
41,3379241,OREGON
49,2305534,UTAH
56,449840,WYOMING
05,2336993,ARKANSAS
19,2464341,IOWA
20,2229203,KANSAS
29,4797181,MISSOURI
31,1477589,NEBRASKA
40,3008712,OKLAHOMA
46,673526,SOUTH DAKOTA
22,3579169,LOUISIANA
48,21663694,TEXAS
09,2884868,CONNECTICUT
25,5633413,MASSACHUSETTS
33,1112869,NEW HAMPSHIRE
44,865601,RHODE ISLAND
50,519162,VERMONT
01,3854015,ALABAMA
12,17262966,FLORIDA
13,8128931,GEORGIA
28,2296728,MISSISSIPPI
45,4012850,SOUTH CAROLINA
17,10040920,ILLINOIS
18,5205600,INDIANA
21,3492675,KENTUCKY
37,8154786,NORTH CAROLINA
39,9237632,OHIO
47,5330967,TENNESSEE
51,6642133,VIRGINIA
55,4621479,WISCONSIN
54,1459045,WEST VIRGINIA
10,773385,DELAWARE
11,576927,DISTRICT OF COLUMBIA
24,4754654,MARYLAND
34,7080172,NEW JERSEY
36,15709161,NEW YORK
42,10271420,PENNSYLVANIA
23,1105382,MAINE
26,7986376,MICHIGAN
02,548676,ALASKA
72,2661470,PUERTO RICO
