27,4184199,MINNESOTA
30,794948,MONTANA
38,546400,NORTH DAKOTA
15,1072368,HAWAII
16,1197047,IDAHO
53,5382966,WASHINGTON
04,5002260,ARIZONA
06,29373640,CALIFORNIA
08,3993851,COLORADO
32,2132677,NEVADA
35,1593963,NEW MEXICO
41,3098673,OREGON
49,2030422,UTAH
56,0,WYOMING
05,2261248,ARKANSAS
19,2386027,IOWA
20,2182732,KANSAS
29,4665532,MISSOURI
31,1414487,NEBRASKA
40,2894320,OKLAHOMA
46,636473,SOUTH DAKOTA
22,3501542,LOUISIANA
48,19357659,TEXAS
09,2838303,CONNECTICUT
25,5338726,MASSACHUSETTS
33,1065360,NEW HAMPSHIRE
44,844803,RHODE ISLAND
50,512319,VERMONT
01,3745704,ALABAMA
12,15483853,FLORIDA
13,7493233,GEORGIA
28,2254976,MISSISSIPPI
45,3662992,SOUTH CAROLINA
17,9993612,ILLINOIS
18,5028118,INDIANA
21,3384146,KENTUCKY
37,7522947,NORTH CAROLINA
39,9024972,OHIO
47,5031684,TENNESSEE
51,6330595,VIRGINIA
55,4489292,WISCONSIN
54,1485013,WEST VIRGINIA
10,720527,DELAWARE
11,522872,DISTRICT OF COLUMBIA
24,4601287,MARYLAND
34,6970885,NEW JERSEY
36,15573505,NEW YORK
42,10164729,PENNSYLVANIA
23,1083135,MAINE
26,7788552,MICHIGAN
02,541843,ALASKA
72,2899589,PUERTO RICO
